,SAMPLE_NUMBER,SAMPLE_TYPE,BATCH_ID,DATE_VISITED,ATLAS_CODE,X_COORD,Y_COORD,Ag_XRF,Al_XRF,As_XRF,Ba_XRF,Bi_XRF,Br_XRF,Ca_XRF,Cd_XRF,Ce_XRF,Cl_XRF,Co_XRF,Cr_XRF,Cs_XRF,Cu_XRF,Fe_XRF,Ga_XRF,Ge_XRF,Hf_XRF,Hg_AAS,Hg_XRF,I_XRF,In_XRF,K_XRF,La_XRF,LOI450,Mg_XRF,Mn_XRF,Mo_XRF,Na_XRF,Nb_XRF,Nd_XRF,Ni_XRF,P_XRF,Pb_XRF,pH,Rb_XRF,S_XRF,Sb_XRF,Sc_XRF,Se_XRF,Si_XRF,Sm_XRF,Sn_XRF,Sr_XRF,Ta_XRF,Te_XRF,Th_XRF,Ti_XRF,Tl_XRF,U_XRF,V_XRF,W_XRF,Y_XRF,Yb_XRF,Zn_XRF,Zr_XRF,DRIFTS,LANDUSES,CLASTS,SITE_CONTAMINANTS,SOIL_TEXTURE,COMMENTS,elevation,slope,aspect,plan.curve,profile.curve,twi,mrvbf,mrrtf,population,landuse
1,610001,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,254740,674330,#0.25,85169,8.3,462,#0.25,17.9,9148.16,#0.25,77.07,NA,44,97,1,82,56231.76,17.4,5.9,4.7,NA,NA,1,NA,9546.15,32.87,9.72,7237.2,1285.67,3.2,7419,21.1,NA,64.1,1265.56,129.7,NA,30.7,NA,#0.5,19,1.2,239571,NA,11.79,131.6,1.8,#0.5,5.1,9885.76,#0.25,#0.3,194,#0.35,26.6,NA,146,212.2,"soil, regolith(observed at site); alluvium, raised terrace(observed at site);",recreational area(observed at site),limestone; siliceous rocks; chert;,NA,silt,"a soil - angular limestone, sub-rounded qtz and chert.  s soil - lb, gy and db. carbonaceous clasts in a hor,  carbonaceous clasts in s hor",57.70000076,0.027651621,0.862169743,-0.018000942,-2.11E-06,9.039944649,3.799662352,0.016219543,3849,21
2,610002,SHALLOW SOIL (5 -20CM),10068,7/31/2001,GLAS,253550,656420,#0.25,84640,4.9,458,0.9,21.5,11363.73,#0.25,72.38,NA,31,66,1,25.6,56581.46,19,1.9,5.2,NA,NA,3,NA,13364.61,30.57,10.59,12062,921.66,2.1,7419,35.5,NA,28.7,1789.24,62.5,NA,39.2,NA,#0.5,14,0.9,237703,NA,7.43,151.1,3.8,#0.5,5.7,11414.48,#0.25,1.4,126,#0.35,23.7,NA,120.3,261.2,"soil, regolith(observed at site); till(observed at site);",urban open space(observed at site),sandstone (undifferentiated),bricks,silt,"e1 drift from map. grassy space st caddocs primary school. abundant red brick in soil. carbonaceous clasts in a hor,  carbonaceous clasts in s hor",89.59999847,0.019695209,0.41822511,-0.001025857,0.000140124,8.815509796,2.982894897,0.082558535,3525,21
3,610003,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,254300,673940,#0.25,82524,7.3,380,#0.25,20.8,4859.96,#0.25,70.04,NA,28,102,1,62.9,50286.86,15.4,6,5.1,NA,NA,7,NA,8882.07,32.87,9.75,5427.9,898.42,2.3,0,15.3,NA,50.1,1745.6,126.3,NA,31.1,NA,#0.5,14,1.2,246576,NA,9.72,86.7,1.3,#0.5,6.7,7619.64,0.6,1.4,145,1,20.2,NA,160.7,254.7,"soil, regolith(observed at site); till(observed at site);",arable land(observed at site),siliceous rocks,NA,silt,"a soil - sub-rounded qtz.  s soil - lb, or and db, sub-angular 4.1cm sst, is/or medium grained, friable. carbonaceous clasts in a hor,  carbonaceous clasts in s hor",68.30000305,0.06541989,1.786154151,-0.001031614,-0.000131565,7.998268604,1.548908591,0.182469428,2228,3
4,610004,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,253920,674860,#0.25,73531,6.3,401,0.6,18.9,8504.93,#0.25,58.31,NA,25,101,1,42.6,50216.92,13.7,3.3,5.5,NA,NA,6,NA,10376.25,24.81,10.02,8443.4,906.17,2,7419,16.1,NA,47.1,1571.04,76.9,NA,31.5,NA,#0.5,15,0.9,249378,NA,5.67,110.7,#0.6,#0.5,4.9,8135.22,#0.25,0.8,144,#0.35,19.8,NA,109,223.3,"soil, regolith(observed at site); till(observed at site);",recreational area(observed at site),NA,NA,medium clay,"s soil - also or, gravel and more carbonaceous at base of augers. carbonaceous clasts in a hor,  carbonaceous clasts in s hor",85.80000305,0.055116545,2.381830454,-0.010031858,-6.49E-06,8.699531555,1.844372392,0.040104065,1453,3
5,610005,SHALLOW SOIL (5 -20CM),10068,7/31/2001,GLAS,253210,655720,#0.25,94162,4.1,426,0.6,23.1,5860.54,#0.25,79.41,NA,29,67,1,24.1,60847.8,20.4,2.2,4.9,NA,NA,4,NA,15107.82,34.02,10.46,11458.9,1022.34,#0.4,7419,35.9,NA,30.1,1658.32,49.2,NA,48.9,NA,#0.5,14,0.5,233033,NA,5.67,114,2.4,#0.5,6.5,12217.81,#0.25,1,138,#0.35,25.2,NA,118.8,271.4,"soil, regolith(observed at site)",urban open space(observed at site),NA,NA,silt,grass within residential area.  angular clasts,134.1999969,0.023190703,0.129703671,-0.015801227,-0.000233304,8.99185276,1.738973856,2.153794289,3178,21
6,610006,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,252440,656590,#0.25,84640,5.7,356,#0.25,56,6289.36,#0.25,57.14,NA,30,75,1,27.1,60358.22,19.5,2.6,5.7,NA,NA,11,NA,11870.43,16.76,17.16,9649.6,1711.64,2.2,7419,34.5,NA,23.7,3316.64,65.5,NA,35.9,NA,#0.5,15,0.9,229764,NA,4.42,93.2,1.3,#0.5,5.3,12727.39,#0.25,1.2,153,#0.35,16.3,NA,156.5,246.7,"soil, regolith(observed at site); till(observed at site);",grass moor(observed at site); major roads/verge(observed at site);,NA,NA,silty clay,field cut for hay.  s hor - clasts sub-angular.,127.5999985,0.090624571,5.131730556,0.003608216,0.001019457,7.78639555,0.633818626,2.813770056,2674,4
7,610007,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,254730,675300,#0.25,64538,9.2,424,#0.25,30.8,7575.82,#0.25,52.45,NA,24,87,1,30.8,44621.72,12.1,3.8,3.7,NA,NA,5,NA,10625.28,20.21,8.53,9046.5,859.7,1.9,7419,16.1,NA,41,1876.52,187.2,NA,30.9,NA,#0.5,13,0.9,250779,NA,6.71,112.9,#0.6,#0.5,4.6,7583.68,#0.25,#0.3,127,#0.35,17,NA,117.8,220,"soil, regolith(observed at site); alluvium, raised terrace(observed at site);",urban open space(observed at site),sedimentary rock (undifferentiated),NA,silt,carbonaceous clasts in s hor,69.59999847,0.07828711,2.844030619,0.002681258,-8.95E-05,7.775036812,0.420563608,0.461187154,1301,21
8,610008,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,255700,655680,#0.25,84111,3,425,#0.25,19.1,7790.23,#0.25,57.14,NA,30,74,1,19,59518.94,17.1,1.9,5.4,NA,NA,5,NA,13447.62,21.36,6.16,12062,1092.04,1.7,7419,31.3,NA,34.1,1265.56,24.2,NA,40.8,NA,#0.5,12,0.3,244241,NA,2.14,109.7,1.9,#0.5,5.7,11582.34,#0.25,1.3,126,#0.35,19.6,NA,80.2,243.3,"soil, regolith(observed at site)",urban open space(observed at site),sandstone (undifferentiated),coal tailings,silty clay,"s - hor - coal tailings, 2 augers to 0.35m, clasts sub ang.  a hor - clasts round.",116.8000031,0.058354594,0.120109454,-0.001416702,-0.000295717,8.74176693,1.597521544,2.245769024,2375,21
9,610009,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,254730,656190,#0.25,89401,4.6,553,#0.25,22.4,8862.28,#0.25,71.21,NA,33,91,1,29.2,61337.38,20.1,2.6,5.8,NA,NA,6,NA,13115.58,29.42,8.29,14474.4,1014.6,1.5,7419,35.4,NA,50.4,2182,93.9,NA,42.9,NA,#0.5,14,1,233967,NA,2.97,148.1,2.7,#0.5,6.3,13350.86,#0.25,1.6,172,#0.35,24.3,NA,158.6,274.9,"soil, regolith(observed at site)",urban open space tended but unproductive(observed at site),sandstone (undifferentiated),NA,silty clay,s hor - or sandy patches.  a hor - clasts angular.,97.09999847,0.049778536,1.752445459,-0.004979135,-0.000510042,9.486660004,2.63886857,0.045896016,2297,21
10,610011,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,257940,656380,#0.25,82524,14.5,501,1,29.3,9505.51,#0.25,86.45,NA,50,126,1,62.1,60777.86,18.3,6.9,5.1,NA,NA,3,NA,11787.42,35.17,13.43,9649.6,1409.59,2.8,7419,27.2,NA,93.8,1745.6,236.6,NA,38.7,NA,1.5,18,1.2,231632,NA,28.3,135.1,#0.6,#0.5,6.3,9993.67,0.6,1,179,#0.35,26,NA,182.5,259.4,"soil, regolith(observed at site)",recreational area(observed at site); deciduous woodland recent(observed at site);,chert; limestone; sandstone (undifferentiated);,bricks; bulk industrial waste;,silty clay,"forest beside road.  s hor - 1 auger 30cm.  small angular red brick in a and lots in s.  a hor - clasts subrounded, only small patches of sandstone.  s hor - tarmac, subangular sandstone.",79.19999695,0.072768487,5.182171822,-0.007650787,-0.000597514,8.767889023,3.761179209,0.00803134,3240,1
